 ,Area,Perim.,Circ.,AR,Round,Solidity
1,0.094,1.126,0.933,1.211,0.826,0.986
2,0.082,1.059,0.922,1.134,0.882,0.995
3,0.089,1.114,0.903,1.255,0.797,0.984
4,0.071,1.028,0.838,1.275,0.784,0.939
5,0.068,0.979,0.888,1.144,0.874,0.982
6,0.105,1.215,0.896,1.232,0.812,0.981
7,0.080,1.089,0.851,1.304,0.767,0.949
8,0.092,1.194,0.811,1.354,0.739,0.926
9,0.081,1.071,0.891,1.238,0.808,0.977
